"playerID","SUM(B.G)","SUM(B.AB)","SUM(B.R)","Sum(B.H)","Sum(B.2B)","Sum(B.3B)","Sum(B.HR)","Sum(B.SB)","Sum(B.CS)","Sum(B.BB)","Sum(B.SO)","Sum(B.IBB)","Sum(B.HBP)","Sum(B.SH)","Sum(B.SF)","Sum(B.GIDP)","Sum(P.W)","Sum(P.L)","Sum(P.SHO)","Sum(P.SV)","Sum(P.ER)","Sum(P.BB)","Sum(P.SO)","AVG(P.BAOpp)","AVG(P.ERA)","Sum(P.HBP)","Sum(P.BFP)","Sum(P.GF)","Sum(P.SH)","Sum(P.SF)","Sum(P.GIDP)","Sum(A.gameNum)","classification"
"perkicy01",1171,3604,329,933,175,35,30,18,34,301,221,0,15,95,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"adamssp01",2848,11114,1688,3176,498,96,18,308,100,906,446,0,56,272,0,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"austiji01",1580,5388,661,1328,174,76,13,244,43,592,363,0,44,278,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"bentola01",6930,11070,810,1830,180,30,30,15,0,450,2715,0,60,780,0,30,1905,1920,195,330,15435,10365,10050,0.2940000000000002,4.604666646321615,375,147960,1695,0,0,0,NULL,"Nominated"
"bladera01",1534,4830,934,1452,266,102,100,66,44,662,620,0,94,106,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"casege01",19616,80256,12560,22640,3728,688,336,5584,1744,6816,4752,0,336,832,0,768,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"chapmsa01",1368,4988,754,1329,210,52,180,41,38,562,682,0,15,35,0,137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"crowdal01",11284,23716,1848,4592,504,140,0,0,28,1036,2156,0,0,1232,0,0,4676,3220,448,616,30016,22400,22372,0.27142857142857185,4.585000055176871,448,282968,1988,0,0,0,0,"Nominated"
"danniha01",7120,23768,2904,6776,1296,208,456,104,0,1496,1736,0,112,176,0,752,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"daviscu01",13470,24390,2100,4950,510,0,330,30,0,840,5280,0,0,1890,0,570,4740,3930,720,990,26520,14370,20520,0.276666666666667,4.25,1410,292560,3330,0,0,0,0,"Nominated"
"ellioju01",2783,4576,286,748,121,0,44,0,0,231,1331,0,11,66,0,22,693,814,88,132,6259,4554,4983,0.29454545454545455,7.521818161010742,275,58036,693,0,0,0,NULL,"Nominated"
"grantge01",1444,4989,912,1508,292,93,105,132,53,717,526,0,23,168,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"keltnke01",21364,79562,10318,21980,4312,966,2282,546,462,7196,6720,0,182,1428,0,2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"kressre01",5564,20348,2764,5816,1192,232,356,188,224,1896,1812,0,24,388,0,72,0,0,0,0,442,204,204,0.32999999999999957,12.490000247955322,34,1632,102,0,0,0,NULL,"Nominated"
"mancugu01",2920,9010,772,2388,394,32,106,16,0,836,528,0,10,194,0,222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"millebi02",3640,12424,1892,3868,778,192,232,254,164,766,680,0,160,420,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"moseswa01",24144,88272,13488,25656,5220,1320,1068,2088,972,9852,5484,0,252,660,0,696,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"pearsmo01",4500,10260,1160,2340,480,20,40,40,0,780,1180,0,0,700,0,40,2000,1220,100,80,12700,14800,14060,0.25799999999999995,4.6089999914169315,120,125180,480,0,0,0,0,"Nominated"
"pippwa01",1872,6914,974,1941,311,148,90,125,60,596,551,0,38,272,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"scottja01",5304,8840,871,2431,403,52,65,13,26,507,988,0,65,156,0,0,1339,1417,143,247,10088,6409,8541,0.2900000000000001,4.613076971127437,559,100854,1612,0,0,0,NULL,"Nominated"
"sewelri01",65988,117000,12636,23712,3432,468,936,1872,0,5772,24024,0,156,2964,0,3120,22308,15132,3120,2340,127764,116688,99216,0.2646153846153817,4.256153858624971,3588,1419756,13728,0,0,0,0,"Nominated"
"spahnwa01",585684,1400256,105468,271524,42636,4488,26180,2992,1496,70312,364276,0,5236,50864,10472,17204,271524,183260,47124,21692,1344904,1072632,1932084,0.24590909090906005,3.2777272679589013,31416,16117156,50864,0,0,0,8712,"Nominated"
"sukefcl01",486,1237,122,326,50,14,2,12,0,95,57,0,5,25,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"walberu01",17504,28960,2496,5184,832,160,128,64,32,1536,5728,0,0,1664,0,0,4960,4512,480,1024,39136,32992,34720,0.2725000000000006,4.61437501013279,864,369216,4640,0,0,0,NULL,"Nominated"
"walkeha01",1614,5302,770,1572,252,74,20,84,0,490,350,0,14,156,0,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"wyattwh01",24888,41276,3604,9044,1768,136,476,0,0,1768,7548,0,136,2312,0,1360,7208,6460,1156,884,50388,43656,59296,0.26882352941176624,4.54058825268465,2244,511428,6868,0,0,0,0,"Nominated"
"youngpe01",730,2466,274,645,128,34,32,18,0,152,312,0,12,38,0,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"zachato01",26208,53856,3792,12192,1344,576,288,0,48,2976,12528,0,96,2208,0,336,8928,9168,1152,1056,62160,43872,34560,0.3220833333333312,6.184166630109151,1968,650448,4032,0,0,0,NULL,"Nominated"
"mizejo01",263760,902020,156520,281540,51380,11620,50260,3920,140,119840,73360,0,7280,2800,0,13860,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"brechha01",53928,113064,8064,21672,2184,840,336,0,0,7560,20328,0,672,4032,0,2688,22344,15456,4200,3024,103824,90048,151368,0.23083333333333642,2.7041666309038797,6216,1313928,8904,0,0,0,0,"Nominated"
"newsobo01",918372,2016196,129688,381524,42224,4524,1508,1508,1508,25636,401128,0,1508,129688,0,45240,318188,334776,46748,31668,2509312,2611856,3139656,0.26517241379309686,4.087241337217134,91988,24832236,107068,0,0,0,0,"Nominated"
"dimagdo01",88137,355320,65898,105840,19404,3591,5481,6300,3906,47250,35973,0,1953,3591,0,6741,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"whiteha01",4381,3315,195,481,91,0,0,0,0,208,1183,0,13,130,0,65,598,702,91,325,5031,5850,4537,0.25923076923076915,5.076153755187988,182,51818,1872,0,0,0,NULL,"Nominated"
"kinerra01",132480,468450,87390,130590,19440,3510,33210,1980,180,90990,67410,90,2160,810,630,11340,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"stanked01",3777,12903,2433,3462,555,105,87,144,15,2988,1122,0,105,309,0,186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"edwarha01",735,2191,285,613,116,41,51,9,22,208,264,0,2,8,0,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"elliobo01",41538,149961,22344,43281,8022,1974,3570,1260,42,20307,12684,0,336,1386,0,3927,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"leonadu02",448000,737800,37100,123900,12600,2800,0,700,0,14000,128100,0,1400,59500,0,18900,133700,126700,21000,30800,813400,515900,819000,0.2565000000000284,3.3175000309944154,39200,9440900,119700,0,0,0,0,"Nominated"
"nichobi01",8385,27730,4185,7420,1360,300,1175,135,5,4000,4140,0,260,100,0,305,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"peskyjo01",1270,4745,867,1455,226,50,17,53,49,662,218,0,25,83,1,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"roepr01",119880,223200,13320,24480,1080,0,360,0,0,13680,77400,0,0,22680,0,2520,45720,30240,6120,3600,262800,181440,344160,0.2724999999999947,4.5091666380564375,6120,2845440,15120,0,0,0,0,"Nominated"
"sistisi01",1016,2999,401,732,121,19,27,30,5,283,440,0,16,70,0,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"fellebo01",82080,184608,14256,27792,4032,1872,1152,144,288,14400,72720,0,432,14400,0,2160,38304,23328,6336,3024,199296,254016,371664,0.2294444444444465,3.3822221888436212,8640,2329920,7488,0,0,0,0,"Elected"
"robinja02",8292,29262,5682,9108,1638,324,822,1182,180,4440,1746,42,432,624,54,678,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Elected"
"newhoha01",878220,1783215,126735,358785,39270,3570,3570,5355,5355,158865,267750,0,0,128520,0,42840,369495,267750,58905,46410,1813560,2229465,3205860,0.23117647058820295,3.371764715980081,33915,22576680,141015,0,0,0,0,"Nominated"
"cavarph01",113680,378224,55440,110712,19432,5544,5320,3640,0,45920,33488,0,2072,4984,56,5768,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"coxbi02",1058,3712,470,974,174,32,66,42,21,298,218,0,7,62,2,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
